,title,description,date,aid,bvid,time,length,play,typeid,comment,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright,typename,section,sub-section
119,三地交警接力，护送武汉医生上一线,"湖北高速交警黄梅大队
【三地交警接力，护送武汉医生上一线】大年初一，@湖北高速交警黄梅大队 接到武汉同济医院毛医生求助。因疫情防控需要，他应召急需返回武汉，但缺少交通工具。沿线大队随即展开联动，黄梅、黄石、鄂州三个大队接力将毛医生送回武汉。抵达武汉后，毛医生特意录了一段视频向护送的高速警察致谢。",2020-01-31 12:40:39,85968079,BV1d7411B7jP,1580474439,00:58,381881,96.0,1479.0,381882,847,1479,2533,4208,904,0,0,41084,0,0,2,星海-科技,科技,星海
120,【武汉加油】祖娅纳惜、HITA、柏凝、Braska、李蚊香、冥月月、玄觞、小爱的妈、小时姑娘、妖扬、龟仙人龟娘、流浪的蛙蛙,"《武汉，加油！》（公益应援曲）

 八方驰援战疫情，众志成城克时难。抗战肺炎，我们与武汉同在！仅以此歌向所有医护人员、科研人员以及社会各界为武汉提供帮助、为抗战疫情提供支持的人们表示致敬和感激。愿疫情早日结束，前行者平安归来！

策划：@李星月star @小萱Vivi 
作曲/和声编写/统筹：@李星月star 
作词：@李星月star @珠宝真高呀 
编曲：@编曲人Vinda 
演唱：@小愛的媽  @HITA @龟仙人龟娘 @玄觞 @流浪的牛蛙君 @小时姑娘呐 @-Braska- @祖娅纳惜 @妖扬_ @",2020-02-01 08:09:31,86060127,BV1K7411x7ZP,1580544571,04:23,222056,28.0,1960.0,222058,3445,1960,7731,14252,2611,0,0,35583,0,1,1,原创音乐-音乐,音乐,原创音乐
121,【解放军来了！】军队1400人承担火神山救治任务,"中国军视网
【视频来啦！军队1400人承担火神山救治任务】今天凌晨，空军出动8架大型运输机，分别从沈阳、兰州、广州、南京起飞，向武汉紧急空运军队支援湖北医疗队队员和58吨物资。根据安排，从今天起，解放军抽组1400名医护人员承担武汉火神山新型冠状病毒感染肺炎专科医院医疗救治任务。",2020-02-02 05:50:19,86262688,BV1J7411W7py,1580622619,02:11,522379,96.0,3492.0,522379,2594,3492,3804,5698,2382,0,0,46908,0,0,2,星海-科技,科技,星海
122,火  神  山,【独家视频】10天10夜，建成火神山,2020-02-03 10:00:32,86461696,BV1E7411s7mW,1580724032,05:21,647093,96.0,2415.0,647094,5717,2415,11268,29070,3606,0,91,58594,0,1,1,星海-科技,科技,星海
123,李显龙：因疫情排华是错误心态，这不是一个国籍甚至是种族的问题,"新加坡总理办公室
【李显龙：因疫情排华是错误心态 这不是一个国籍甚至是种族的问题】据《联合早报》报道，新加坡总理李显龙2月1日在新加坡宏茂桥德义区新春晚宴上用中文致辞表示：最近网上或许会看到有些网民纷纷抵制中国人，这是错误的心态，也是很不好的做法。武汉肺炎不是一个国籍或种族的问题，而是一个公共卫生的问题，大家必须镇定地考虑事实，合逻辑地去了解事情，并与中国齐心协力共同克服挑战。",2020-02-03 10:05:10,86516544,BV1K7411p727,1580724310,04:15,261397,21.0,1266.0,261397,539,1266,724,926,649,0,0,25494,0,0,2,日常-生活,生活,日常
124,【武汉】待你重新按下播放键，来一碗热干面，飚一句“我信了你的邪！”,"SMG摄界
【武汉最新宣传片】待你重新按下播放键，来一碗热干面，飚一句“我信了你的邪！”",2020-02-03 14:59:00,86571147,BV1G7411p7FY,1580741940,02:03,432054,85.0,2972.0,432058,739,2972,10243,8281,4923,0,0,50745,0,0,2,短片-影视,影视,短片
125,战疫情 · 共青团中央在重点领域组建疫情防控青年突击队,战疫情 · 共青团中央在重点领域组建疫情防控青年突击队,2020-02-04 03:35:00,86639206,BV1y7411p75N,1580787300,02:12,103835,96.0,756.0,103836,103,756,283,1648,525,0,0,17788,0,1,1,星海-科技,科技,星海
126,【两地书】身患渐冻症！却在武汉抗疫第一线 李光洁致敬金银潭医院张定宇院长,罕见绝症，没能阻挡前线奋战的身影；蹒跚步履，没有影响抗疫冲锋的速度。作为带领全院医护决战最前线的“白衣将军”，与渐冻症争分夺秒的武汉市金银潭医院党委副书记、院长张定宇，最大梦想仍是“跑得更快、跑赢时间”。,2020-02-05 15:00:50,86934622,BV1Y7411H7eX,1580914850,08:01,213841,85.0,1534.0,213841,271,1534,857,2524,1118,0,0,30507,0,1,1,短片-影视,影视,短片
127,【预告】博物馆里的中国通史,【预告·博物馆里的中国通史】过年宅在家出不了门特别无聊？实在没事儿咱还可以上B站来学习。团团联合@假日博物馆 的猫馆长，为大家准备了系列网课《博物馆里的中国通史》，带你逛逛中国的博物馆，顺便学习历史知识。2月7日起，连续7集日更，敬请期待。了解更多→https://mp.weixin.qq.com/s/lIcQs8c8eVdGLQWH2PxDHQ,2020-02-06 08:40:13,87102091,BV1b7411h785,1580978413,02:02,91115,37.0,376.0,91115,332,376,1354,1436,703,0,0,16942,0,1,1,人文历史-纪录片,纪录片,人文历史
128,【原创曲丨排骨教主】《夜中灯火》——献给在疫情阻击战中坚守防线的英雄们『人声本家』,"-出品- 共青团山东省委宣传部 
-制作- 
策划统筹：青微山东工作室 
视频制作：琉璃猫映像
-STAFF- 
演唱：排骨教主
作曲：Nekock·LK
作词：因你而在的梦
编曲：Nekock·LK
混音：洛翼党
曲绘：资本P
视频制作：Kotoli
封面：酒鱼
协作：DBRT
出品：共青团山东省委宣传部

歌词：
许下承诺 夜中 定格
万家灯火 解冻 冰河

空荡的街 载不动思念
半遮的脸 笑容都残缺
凝固的血 与死神周旋
生者的愿 为死者安眠
灰暗的天 星隐去双眼
燃起一簇火焰 温热未愈的人间

风",2020-02-06 09:19:02,87100665,BV147411h7Gw,1580980742,02:58,176842,28.0,886.0,176843,1335,886,6634,9393,1683,0,0,33960,0,1,1,原创音乐-音乐,音乐,原创音乐
