,aid,bvid,title,typeid,section,sub-section,date,time,length,play,comment,danmaku,favorite,coin,share,like,typename,his_rank
68,81580966,BV1xJ411b7ka,【团团有话说】新年快乐！,21.0,生活,日常,2020-01-01 04:00:11,1577851211,03:51,83011,400.0,257,312,1718,321,14285,日常-生活,0
69,81605797,BV1CJ411b7Vn,新年快乐 · 香港  戴天抒,28.0,音乐,原创音乐,2020-01-01 06:33:50,1577860430,03:26,190432,1375.0,560,3122,5086,889,24542,原创音乐-音乐,0
70,81730997,BV1nJ41187Gm,【成长启示录③】性侵未成年人事件调查,37.0,纪录片,人文历史,2020-01-02 03:19:07,1577935147,36:01,354033,2173.0,8950,5503,4825,2392,27017,人文历史-纪录片,0
71,81744191,BV1jJ411877E,【中国有故事 第16集】谁不想当“孙大圣”,37.0,纪录片,人文历史,2020-01-02 06:05:59,1577945159,03:57,80190,884.0,416,486,1892,398,12718,人文历史-纪录片,0
72,81895133,BV1yJ411j7kF,【走你】山东舰版航母style┏ (゜ω゜)=☞,96.0,科技,星海,2020-01-03 08:21:21,1578039681,00:39,294065,1301.0,573,1117,1706,489,20243,星海-科技,0
73,81900078,BV1UJ411j7TJ,【燃！2020陆军MV】战斗吧，人民陆军！,96.0,科技,星海,2020-01-03 09:04:32,1578042272,03:00,445300,73.0,0,9040,8432,1865,39349,星海-科技,0
74,81906966,BV1BJ411j7vR,外交部：伊朗军官遇袭身亡 中方反对在国际关系中使用武力,96.0,科技,星海,2020-01-03 09:47:40,1578044860,00:56,501055,2575.0,550,1049,1624,879,25157,星海-科技,0
75,81987124,BV15J41177pi,【2020海军陆战队】比电影更真实，现实版红海行动,96.0,科技,星海,2020-01-04 01:59:26,1578103166,01:39,593484,1134.0,1025,5351,5210,1510,36519,星海-科技,0
76,82178105,BV1pJ411L7uZ,【军车逮虾户】解放军在线漂移2P逮虾户,96.0,科技,星海,2020-01-05 07:59:17,1578211157,04:52,748752,1612.0,2772,6171,5807,4167,42998,星海-科技,0
77,81902288,BV1mJ411j7xf,【青课2019】马克思主义与21世纪中国横版,39.0,科技,演讲· 公开课,2020-01-05 08:17:24,1578212244,58:08,108495,17.0,0,3051,2582,856,13640,演讲· 公开课-科技,0
